score,pop,song_a,song_b,bpm
100,82,Aymen - Toni M (w/ 3robi),Danilo e Davi - Apaga Apaga Apaga,136<->129
100,81,El Bogueto - Cuando No Era Cantante RMX,El Bogueto - Cuando No Era Cantante (w/ Yung Beef),161<->161
100,77,Peso Pluma - daÃ±o (w/ Tito Double P),Dr. Yaro - Minimum Ã§a,112<->112
100,77,Peso Pluma - daÃ±o (w/ Tito Double P),Grupo Menos Ã Mais - CoraÃ§Ã£o Partido (CorazÃ³n PartÃ­o),112<->112
100,68,Panda - Corpo Nu,Panda - Porcelanato,107<->107
100,65,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),Ninho - Vrais,129<->123
100,63,RnBoi - AVEC MOI (w/ Nono La Grinta),GIMS - CIEL,129<->129
100,60,"Noor - Aarzu (w/ Khan, Madhurxo)","Asim Azhar - Aarzu (w/ Noor, Khan, Madhurxo)",143<->143
100,57,"dj andreoli - Menos Foco Mais Ansiedade (Ce Ta Nervosa) (w/ Mc JacareÌ, MC Ryan SP, MC LUUKY, Mc Lele JP, ZANOLINI)","Mc JacareÌ - VinganÃ§a (w/ MC LUUKY, dj andreoli)",129<->129
100,55,Ninho - Putana,Cheema Y - Jackpot (w/ Gur Sidhu),136<->129
100,55,Dr. Yaro - Minimum Ã§a,Grupo Menos Ã Mais - CoraÃ§Ã£o Partido (CorazÃ³n PartÃ­o),112<->112
99,99,Dominic Fike - Babydoll,Michael Jackson - Chicago,172<->172
99,96,The Killers - Mr. Brightside,JÃºnior e CÃ©zar - Cheiro De Culpado,143<->143
99,94,Katy Perry - The One That Got Away,Herencia De Grandes - Ya Borracho,136<->136
99,94,Aya Nakamura - Sexy Nana (w/ La Rvfleuze),Ravyn Lenae - Love Me Not,107<->112
99,93,Drake - Janice STFU,Drake - Shabang,123<->117
99,92,"KITSCHKRIEG - Gut Genug (mit Blumengarten & Shirin David) (w/ Blumengarten, Shirin David)",Henry Freitas - Me Fala Qual Necessidade,123<->123
99,91,Fuerza Regida - Marlboro Rojo,Peso Pluma - dopamina (w/ Tito Double P),112<->117
99,91,Summer Cem - KILLY MANJARO (w/ BILLA JOE),Summer Cem - KILLY MANJARO,92<->92
99,91,Olivia Rodrigo - begged,Anuv Jain - Arz Kiya Hai | Coke Studio Bharat,95<->99
99,88,Michael Jackson - Billie Jean,Bausa - Wolke 4 (w/ Philipp Dittberner),117<->117
99,87,Ella Langley - Choosin' Texas,Ella Langley - I Can't Love You Anymore (w/ Morgan Wallen),112<->117
99,86,Olivia Rodrigo - expectations,"Jasleen Royal - Inaam (Ft. Badshah) (w/ Badshah, Ansh Chahal)",136<->129
99,86,Fleetwood Mac - Dreams,"Rafa e Junior - Ama Um Maloqueiro (w/ Hugo & Guilherme, DJ Ari SL)",123<->123
99,86,"Jasleen Royal - Inaam (Ft. Badshah) (w/ Badshah, Ansh Chahal)","Oldilla - Cuida do Pet (w/ Mc Iguinho Ct, MC Willian, Aaron Modesto, Mc NegÃ£o Original, DU'L, Dj Aladin GDB)",129<->123
99,85,Aya Nakamura - Sexy Nana (w/ La Rvfleuze),Grupo Menos Ã Mais - P do Pecado,107<->112
99,85,"Bonez MC - Pharma (w/ Ufo361, Lucry & Suena)","Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",143<->143
99,84,"Mithoon - Darkhaast (w/ Arijit Singh, Sunidhi Chauhan)",Alex Warren - Ordinary,112<->112
99,84,Future - Konnichiwa,GIMS - SPA (w/ Theodora),129<->129
99,84,"SIRA - Rhythm (w/ Aymen, NiklasWilson)","KITSCHKRIEG - Gut Genug (mit Blumengarten & Shirin David) (w/ Blumengarten, Shirin David)",129<->123
99,83,Tame Impala - Dracula,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),117<->123
99,83,Atif Aslam - Tere Liye (w/ Shreya Ghoshal),Don Toliver - E85,129<->129
99,83,Calvin Harris - Summer,"KITSCHKRIEG - Gut Genug (mit Blumengarten & Shirin David) (w/ Blumengarten, Shirin David)",129<->123
99,83,French Montana - Unforgettable (w/ Swae Lee),Drake - Janice STFU,129<->123
99,82,"KITSCHKRIEG - Gut Genug (mit Blumengarten & Shirin David) (w/ Blumengarten, Shirin David)",Sabrina Carpenter - Manchild,123<->123
99,82,Mauvais djo - PilÃ©,"Calle 24 - Que Onda (w/ Chino Pacas, Fuerza Regida)",129<->123
99,82,RAYE - WHERE IS MY HUSBAND!,R2 - RUINART,117<->123
99,82,Justin Bieber - DAISIES,Simone Mendes - Direitos Iguais,112<->112
99,82,A.R. Rahman - Deewaana Deewaana (w/ Irshad Kamil),Prospa - Free Your Mind (w/ Cloonee),136<->129
99,82,Silva Bumpa - On 2nite,Gambi - RENÃ CAOVILLA,136<->129
99,81,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),Mac Miller - The Spins (w/ Empire Of The Sun),129<->129
99,81,Lenin RamÃ­rez - Todo Lo Fue,Evanescence - Bring Me To Life,95<->95
99,81,Fuerza Regida - Marlboro Rojo,Guilherme & Benuto - Eu Duvido,112<->107
99,81,Gambi - RENÃ CAOVILLA,French Montana - Unforgettable (w/ Swae Lee),129<->129
99,81,"Pritam - Bandhu 2.0 (From ""Cocktail 2"") (w/ Kavita Seth, Neeraj Shridhar, Irshad Kamil)",Atif Aslam - Tere Liye (w/ Shreya Ghoshal),136<->129
99,81,Bruno Mars - That's What I Like,Mauvais djo - PilÃ©,136<->129
99,80,Katy Perry - The One That Got Away,Wheatus - Teenage Dirtbag,136<->129
99,80,Ravyn Lenae - Love Me Not,Grupo Menos Ã Mais - P do Pecado,112<->112
99,80,Future - Konnichiwa,"TRIANGLE DES BERMUDES - Balek (w/ Aya Nakamura, MC YOSHI, Mauvais djo, Kokosvoice)",129<->129
99,80,Rihanna - S&M,Fuerza Regida - CHAVALITAS,129<->123
99,79,Mauvais djo - PilÃ©,Madonna - Bring Your Love (w/ Sabrina Carpenter),129<->123
