track_name,artists,tempo,year,key,mode,energy,valence,speechiness,acousticness,popularity
Billie Jean,Michael Jackson,117.5,2026,1,0,0.549,0.5,0.06,0.15,100
Dai Dai (w/ Burna Boy),Shakira,152.0,2026,1,0,0.578,0.5,0.06,0.15,100
Beauty And A Beat (w/ Nicki Minaj),Justin Bieber,129.2,2026,0,1,0.603,0.5,0.06,0.15,100
hate that i made you love me,Ariana Grande,95.7,2026,10,0,0.789,0.5,0.06,0.15,100
stupid song,Olivia Rodrigo,129.2,2026,11,1,0.369,0.5,0.06,0.15,100
SWIM,BTS,184.6,2026,9,1,0.758,0.5,0.06,0.15,100
Babydoll,Dominic Fike,172.3,2026,2,0,0.808,0.5,0.06,0.15,100
Beat It,Michael Jackson,136.0,2026,7,1,0.471,0.5,0.06,0.15,100
Earrings,Malcolm Todd,161.5,2026,1,1,0.882,0.5,0.06,0.15,100
the cure,Olivia Rodrigo,143.6,2026,5,0,0.592,0.5,0.06,0.15,100
drop dead,Olivia Rodrigo,129.2,2026,8,1,0.398,0.5,0.06,0.15,100
The One That Got Away,Katy Perry,136.0,2026,4,1,0.772,0.5,0.06,0.15,100
Self Aware,Temper City,161.5,2026,9,0,0.976,0.5,0.06,0.15,100
Choosin' Texas,Ella Langley,112.3,2026,1,1,0.882,0.5,0.06,0.15,100
DtMF,Bad Bunny,56.2,2026,4,1,0.55,0.5,0.06,0.15,100
Man I Need,Olivia Dean,117.5,2026,1,1,0.787,0.5,0.06,0.15,100
Lush Life,Zara Larsson,99.4,2026,7,0,0.74,0.5,0.06,0.15,100
NUEVAYoL,Bad Bunny,152.0,2026,9,0,0.554,0.5,0.06,0.15,100
Mr. Brightside,The Killers,143.6,2026,1,1,0.771,0.5,0.06,0.15,100
"I Knew It, I Knew You",Taylor Swift,92.3,2026,0,1,0.461,0.5,0.06,0.15,100
Cinderella (w/ Ty Dolla $ign),Mac Miller,136.0,2026,1,0,0.62,0.5,0.06,0.15,100
Jamaican (Bam Bam) (w/ SOLTO (FR)),HUGEL,123.0,2026,9,0,0.527,0.5,0.06,0.15,100
TU SANCHO,Fuerza Regida,80.7,2026,0,0,0.749,0.5,0.06,0.15,100
Nalguita y Teta,Neton Vega,172.3,2026,3,0,0.841,0.5,0.06,0.15,100
Marlboro Rojo,Fuerza Regida,112.3,2026,4,0,0.833,0.5,0.06,0.15,100
Rein Me In (w/ Olivia Dean),Sam Fender,123.0,2026,4,1,0.656,0.5,0.06,0.15,100
Be Her,Ella Langley,112.3,2026,11,1,0.82,0.5,0.06,0.15,100
daÃ±o (w/ Tito Double P),Peso Pluma,112.3,2026,5,0,0.584,0.5,0.06,0.15,100
Todo Lo Fue,Lenin RamÃ­rez,95.7,2026,4,0,0.663,0.5,0.06,0.15,100
PilÃ©,Mauvais djo,129.2,2026,10,0,0.792,0.5,0.06,0.15,100
iloveitiloveitiloveit,Bella Kay,95.7,2026,2,1,0.479,0.5,0.06,0.15,100
"Gut Genug (mit Blumengarten & Shirin David) (w/ Blumengarten, Shirin David)",KITSCHKRIEG,123.0,2026,7,1,0.74,0.5,0.06,0.15,100
PeÃ£o Todo Tatuado (w/ Mariana Fagundes),Jeninho,172.3,2026,0,1,0.883,0.5,0.06,0.15,100
Bairan,Banjaare,143.6,2026,5,1,0.861,0.5,0.06,0.15,100
Sexy Nana (w/ La Rvfleuze),Aya Nakamura,107.7,2026,0,1,0.734,0.5,0.06,0.15,100
back to friends,sombr,92.3,2026,1,1,0.887,0.5,0.06,0.15,99
honeybee,Olivia Rodrigo,89.1,2026,4,1,0.354,0.5,0.06,0.15,99
Chicago,Michael Jackson,172.3,2026,2,0,0.773,0.5,0.06,0.15,99
Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,99.4,2026,8,1,0.555,0.5,0.06,0.15,99
Maladie,Mauvais djo,129.2,2026,8,0,0.563,0.5,0.06,0.15,99
Iris,The Goo Goo Dolls,103.4,2026,2,1,0.627,0.5,0.06,0.15,98
So Easy (To Fall In Love),Olivia Dean,136.0,2026,3,1,0.669,0.5,0.06,0.15,98
Danza Kuduro (w/ Lucenzo),Don Omar,64.6,2026,0,1,0.895,0.5,0.06,0.15,98
Khat,Navjot Ahuja,136.0,2026,4,1,0.43,0.5,0.06,0.15,98
KILLY MANJARO (w/ BILLA JOE),Summer Cem,92.3,2026,0,0,0.906,0.5,0.06,0.15,98
Pocahontas,PLK,161.5,2026,9,0,0.77,0.5,0.06,0.15,98
Nem Pagando (w/ Grupo Menos Ã Mais),Henrique Casttro,152.0,2026,1,1,0.818,0.5,0.06,0.15,98
End of Beginning,Djo,161.5,2026,2,1,0.736,0.5,0.06,0.15,97
Life Goes On,Oliver Tree,161.5,2026,9,0,0.821,0.5,0.06,0.15,97
"Gehra Hua (w/ Arijit Singh, Irshad Kamil, Armaan Khan)",Shashwat Sachdev,63.0,2026,7,0,0.396,0.5,0.06,0.15,97
Cadeira Cativa - Ao Vivo,ZÃ© Neto & Cristiano,129.2,2026,1,1,0.706,0.5,0.06,0.15,97
WHERE IS MY HUSBAND!,RAYE,117.5,2026,10,0,0.688,0.5,0.06,0.15,96
"Tum Ho Toh (From ""Saiyaara"") (w/ Hansika Pareek, Raj Shekhar)",Vishal Mishra,76.0,2026,11,1,0.628,0.5,0.06,0.15,96
RENÃ CAOVILLA,Gambi,129.2,2026,8,0,0.87,0.5,0.06,0.15,96
Saudade Estranha - Ao Vivo,Murilo Huff,143.6,2026,0,0,0.76,0.5,0.06,0.15,96
American Girls,Harry Styles,136.0,2026,6,1,0.613,0.5,0.06,0.15,95
Finding Her (w/ Bharath),Kushagra,57.4,2026,0,1,0.572,0.5,0.06,0.15,95
Pineapple,Leto,184.6,2026,1,1,0.705,0.5,0.06,0.15,95
"Cuida do Pet (w/ Mc Iguinho Ct, MC Willian, Aaron Modesto, Mc NegÃ£o Original, DU'L, Dj Aladin GDB)",Oldilla,123.0,2026,7,0,0.742,0.5,0.06,0.15,95
CHAVALITAS,Fuerza Regida,123.0,2026,3,0,0.81,0.5,0.06,0.15,95
Raindance (w/ Tems),Dave,143.6,2026,10,0,0.539,0.5,0.06,0.15,94
expectations,Olivia Rodrigo,136.0,2026,7,0,0.69,0.5,0.06,0.15,94
"Cuando No Era Cantante RMX - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",El Bogueto,161.5,2026,6,0,0.682,0.5,0.06,0.15,94
Sahiba,Aditya Rikhari,99.4,2026,1,1,0.501,0.5,0.06,0.15,94
Noche Perfecta (w/ Fuerza Regida),Calle 24,152.0,2026,3,1,0.456,0.5,0.06,0.15,94
On The Floor (w/ Pitbull),Jennifer Lopez,129.2,2026,6,1,0.563,0.5,0.06,0.15,93
Free Your Mind (w/ Cloonee),Prospa,129.2,2026,11,0,0.667,0.5,0.06,0.15,93
"Samjhawan (w/ Shaarib Toshi, Arijit Singh, Shreya Ghoshal)",Jawad Ahmad,107.7,2026,4,1,0.184,0.5,0.06,0.15,93
"Sprite (w/ Gzuz, JUGGLERZ)",Bonez MC,107.7,2026,2,0,0.685,0.5,0.06,0.15,93
melodrama (w/ Theodora),disiz,152.0,2026,3,1,0.863,0.5,0.06,0.15,93
Cheiro De Culpado - Ao Vivo,JÃºnior e CÃ©zar,143.6,2026,1,1,0.724,0.5,0.06,0.15,93
Polvo Rosita,Lenin RamÃ­rez,184.6,2026,11,1,0.762,0.5,0.06,0.15,93
"ICONIC BY MISTAKE (w/ ILLIT, KATSEYE)",LE SSERAFIM,152.0,2026,2,0,1.0,0.5,0.06,0.15,92
Don't Stop 'Til You Get Enough - Single Version,Michael Jackson,117.5,2026,11,0,0.509,0.5,0.06,0.15,92
Hips Don't Lie (w/ Wyclef Jean),Shakira,99.4,2026,1,1,0.638,0.5,0.06,0.15,92
Dreams - 2001 Remaster,Fleetwood Mac,123.0,2026,9,0,0.672,0.5,0.06,0.15,92
Sheesha (w/ Swara Verma),Mitta Ror,172.3,2026,4,1,0.721,0.5,0.06,0.15,92
Pvta Luna,Neton Vega,99.4,2026,9,1,0.537,0.5,0.06,0.15,92
Dracula - JENNIE Remix (w/ JENNIE),Tame Impala,117.5,2026,10,0,0.924,0.5,0.06,0.15,91
Human Nature,Michael Jackson,92.3,2026,2,1,0.533,0.5,0.06,0.15,91
Riptide,Vance Joy,129.2,2026,1,1,0.63,0.5,0.06,0.15,91
Midnight Sun,Zara Larsson,152.0,2026,11,1,0.821,0.5,0.06,0.15,91
A Bar Song (Tipsy),Shaboozey,80.7,2026,9,1,0.592,0.5,0.06,0.15,91
ELLE VOULAIT,RnBoi,83.4,2026,8,0,0.822,0.5,0.06,0.15,91
"Reliquia do 2T (w/ MC Vine7, MC Tuto, MC JoÃ£ozinho VT, Mc Dkziin, MC Fr da Norte)",DJ Gu,117.5,2026,10,0,0.582,0.5,0.06,0.15,91
Tere Liye (w/ Shreya Ghoshal),Atif Aslam,129.2,2026,2,1,0.59,0.5,0.06,0.15,90
mÃ©li-mÃ©lo,kulturr,129.2,2026,3,0,0.58,0.5,0.06,0.15,90
The Fate of Ophelia,Taylor Swift,123.0,2026,7,0,0.473,0.5,0.06,0.15,89
Love Me Not,Ravyn Lenae,112.3,2026,0,1,0.691,0.5,0.06,0.15,89
my way,Olivia Rodrigo,143.6,2026,9,0,0.78,0.5,0.06,0.15,89
Amor,Emmanuel Cortes,89.1,2026,6,0,0.824,0.5,0.06,0.15,89
"Pavazha Malli (w/ Shruti Haasan, Vivek)",Sai Abhyankkar,136.0,2026,6,0,0.624,0.5,0.06,0.15,89
Hin und Her,AK AUSSERKONTROLLE,129.2,2026,6,0,0.884,0.5,0.06,0.15,89
"DiÃ¡rio de um Cafajeste (w/ Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc NegÃ£o Original)",DJ Oreia,123.0,2026,5,0,0.48,0.5,0.06,0.15,89
DEMENCIA (w/ Gael Valenzuela),Junior H,152.0,2026,0,1,0.963,0.5,0.06,0.15,89
Die With A Smile (w/ Bruno Mars),Lady Gaga,152.0,2026,1,0,0.435,0.5,0.06,0.15,88
Mann Mera,Gajendra Verma,99.4,2026,2,0,0.468,0.5,0.06,0.15,88
"Pacman de Panicat (w/ Mc Poze do Rodo, MC Ryan SP, Mc Rodrigo do CN, DJ Guh Mix)",DJ Japa NK,117.5,2026,1,0,0.765,0.5,0.06,0.15,88
Ya Borracho,Herencia De Grandes,136.0,2026,4,1,0.752,0.5,0.06,0.15,88
Beautiful Things,Benson Boone,143.6,2026,10,1,0.692,0.5,0.06,0.15,87
whatâs wrong with me (w/ Robert Smith),Olivia Rodrigo,123.0,2026,6,1,0.546,0.5,0.06,0.15,87
Homewrecker,sombr,99.4,2026,1,1,0.909,0.5,0.06,0.15,87
COQUETA (w/ Grupo Frontera),Fuerza Regida,78.3,2026,4,1,0.749,0.5,0.06,0.15,87
"Darkhaast (w/ Arijit Singh, Sunidhi Chauhan)",Mithoon,112.3,2026,2,1,0.621,0.5,0.06,0.15,87
Parfum quartier,Jul,143.6,2026,6,1,0.801,0.5,0.06,0.15,87
Ignora (Ao Vivo),Felipe e Rodrigo,99.4,2026,0,1,0.852,0.5,0.06,0.15,87
ME VALE V,Tito Double P,123.0,2026,6,1,0.908,0.5,0.06,0.15,87
Shabang,Drake,117.5,2026,8,0,0.84,0.5,0.06,0.15,86
Broken Window Serenade,Whiskey Myers,152.0,2026,0,1,0.637,0.5,0.06,0.15,86
"Udi Udi (w/ Sarkar, Hruday)",Aneesh,83.4,2026,8,1,0.403,0.5,0.06,0.15,86
Paris,Nono La Grinta,123.0,2026,5,0,0.876,0.5,0.06,0.15,86
Bala Alojada,Gusttavo Lima,112.3,2026,10,1,0.584,0.5,0.06,0.15,86
"Tus Mentiras (En Vivo) (w/ Grupo Firme, Max Peraza)",Moy Bobadilla,184.6,2026,7,1,0.849,0.5,0.06,0.15,86
DAISIES,Justin Bieber,112.3,2026,8,1,0.833,0.5,0.06,0.15,85
Ban Ja Tu (w/ Badshah),Charan Preet,112.3,2026,11,1,0.653,0.5,0.06,0.15,85
BALOTELLI,THIZZY52,123.0,2026,1,0,0.838,0.5,0.06,0.15,85
Me Fala Qual Necessidade - Ao Vivo,Henry Freitas,123.0,2026,7,1,0.76,0.5,0.06,0.15,85
Locked out of Heaven,Bruno Mars,143.6,2026,7,0,0.801,0.5,0.06,0.15,84
"Sitaare (From ""Ikkis"") (w/ White Noise Collectives, Amitabh Bhattacharya)",Arijit Singh,71.8,2026,1,1,0.528,0.5,0.06,0.15,84
SPA (w/ Theodora),GIMS,129.2,2026,4,0,0.829,0.5,0.06,0.15,84
SÃ³ Com Ela - Ao Vivo (w/ Matheus Fernandes),Murilo Huff,123.0,2026,9,1,0.795,0.5,0.06,0.15,84
caperuza,Fuerza Regida,80.7,2026,7,1,0.771,0.5,0.06,0.15,84
begged,Olivia Rodrigo,95.7,2026,8,1,0.509,0.5,0.06,0.15,83
I Got Better,Morgan Wallen,172.3,2026,0,1,0.835,0.5,0.06,0.15,83
Boston,STELLA LEFTY,123.0,2026,0,1,0.668,0.5,0.06,0.15,83
"Apna Bana Le (w/ Arijit Singh, Amitabh Bhattacharya)",Sachin-Jigar,184.6,2026,9,1,0.622,0.5,0.06,0.15,83
Coco Chanel (w/ Eva),Meryl,117.5,2026,3,0,0.72,0.5,0.06,0.15,83
"Pau Pra Toda Obra (w/ MC Ryan SP, Mc Lele JP, Mc IG)",Mc JacareÌ,117.5,2026,11,0,0.771,0.5,0.06,0.15,83
Ordinary,Alex Warren,112.3,2026,2,1,0.646,0.5,0.06,0.15,82
weren't for the wind,Ella Langley,152.0,2026,4,1,0.826,0.5,0.06,0.15,82
"Barbaad (From ""Saiyaara"") (w/ Jubin Nautiyal)",The Rish,107.7,2026,9,1,0.15,0.5,0.06,0.15,82
THUG LIFE (w/ Jazeek),Luciano,172.3,2026,3,0,0.958,0.5,0.06,0.15,82
"Pra NÃ£o Esquecer De Mim (w/ Mc Magal, MC Meno K, DJ Glenner)",Aaron Modesto,123.0,2026,1,0,0.705,0.5,0.06,0.15,82
dopamina (w/ Tito Double P),Peso Pluma,117.5,2026,4,0,0.859,0.5,0.06,0.15,82
BAILE INoLVIDABLE,Bad Bunny,172.3,2026,9,0,0.773,0.5,0.06,0.15,81
less,Olivia Rodrigo,78.3,2026,10,1,0.401,0.5,0.06,0.15,81
